Datetime,ID,Count,year,month,day,Hour,day_of_week,weekend
2012-08-25,11.5,3.1666666666666665,2012.0,8.0,25.0,11.5,5.0,1.0
2012-08-26,35.5,3.6666666666666665,2012.0,8.0,26.0,11.5,6.0,1.0
2012-08-27,59.5,2.5833333333333335,2012.0,8.0,27.0,11.5,0.0,0.0
2012-08-28,83.5,2.4166666666666665,2012.0,8.0,28.0,11.5,1.0,0.0
2012-08-29,107.5,2.5,2012.0,8.0,29.0,11.5,2.0,0.0
2012-08-30,131.5,3.0833333333333335,2012.0,8.0,30.0,11.5,3.0,0.0
2012-08-31,155.5,3.25,2012.0,8.0,31.0,11.5,4.0,0.0
2012-09-01,179.5,4.666666666666667,2012.0,9.0,1.0,11.5,5.0,1.0
2012-09-02,203.5,4.916666666666667,2012.0,9.0,2.0,11.5,6.0,1.0
2012-09-03,227.5,4.5,2012.0,9.0,3.0,11.5,0.0,0.0
2012-09-04,251.5,2.75,2012.0,9.0,4.0,11.5,1.0,0.0
2012-09-05,275.5,4.333333333333333,2012.0,9.0,5.0,11.5,2.0,0.0
2012-09-06,299.5,4.166666666666667,2012.0,9.0,6.0,11.5,3.0,0.0
2012-09-07,323.5,2.8333333333333335,2012.0,9.0,7.0,11.5,4.0,0.0
2012-09-08,347.5,4.166666666666667,2012.0,9.0,8.0,11.5,5.0,1.0
2012-09-09,371.5,2.8333333333333335,2012.0,9.0,9.0,11.5,6.0,1.0
2012-09-10,395.5,2.6666666666666665,2012.0,9.0,10.0,11.5,0.0,0.0
2012-09-11,419.5,2.4166666666666665,2012.0,9.0,11.0,11.5,1.0,0.0
2012-09-12,443.5,3.5,2012.0,9.0,12.0,11.5,2.0,0.0
2012-09-13,467.5,3.0,2012.0,9.0,13.0,11.5,3.0,0.0
2012-09-14,491.5,3.5,2012.0,9.0,14.0,11.5,4.0,0.0
2012-09-15,515.5,3.8333333333333335,2012.0,9.0,15.0,11.5,5.0,1.0
2012-09-16,539.5,2.9166666666666665,2012.0,9.0,16.0,11.5,6.0,1.0
2012-09-17,563.5,3.8333333333333335,2012.0,9.0,17.0,11.5,0.0,0.0
2012-09-18,587.5,7.833333333333333,2012.0,9.0,18.0,11.5,1.0,0.0
2012-09-19,611.5,6.583333333333333,2012.0,9.0,19.0,11.5,2.0,0.0
2012-09-20,635.5,3.5,2012.0,9.0,20.0,11.5,3.0,0.0
2012-09-21,659.5,3.75,2012.0,9.0,21.0,11.5,4.0,0.0
2012-09-22,683.5,3.25,2012.0,9.0,22.0,11.5,5.0,1.0
2012-09-23,707.5,4.25,2012.0,9.0,23.0,11.5,6.0,1.0
2012-09-24,731.5,6.75,2012.0,9.0,24.0,11.5,0.0,0.0
2012-09-25,755.5,6.666666666666667,2012.0,9.0,25.0,11.5,1.0,0.0
2012-09-26,779.5,4.916666666666667,2012.0,9.0,26.0,11.5,2.0,0.0
2012-09-27,803.5,4.333333333333333,2012.0,9.0,27.0,11.5,3.0,0.0
