,ID,Count
0,18288,411.71752639480724
1,18289,328.5721260189439
2,18290,278.0732212852049
3,18291,229.76196832129904
4,18292,193.39134307768612
5,18293,173.11715226093852
6,18294,186.1479475855967
7,18295,215.88245190867906
8,18296,248.6021131618349
9,18297,321.24824835472026
10,18298,455.97540450758436
11,18299,505.5085231757115
12,18300,510.86424590319604
13,18301,451.8195978010119
14,18302,483.10521307795625
15,18303,477.0032011179536
16,18304,464.82844344236076
17,18305,475.6569538749792
18,18306,487.3634516399722
19,18307,517.1418553296735
20,18308,496.95546324616294
21,18309,463.85534081564515
22,18310,465.5381498693629
23,18311,454.53404197026987
24,18312,392.3475588192225
25,18313,313.11387850891475
26,18314,264.99078263582913
27,18315,218.95241664771203
28,18316,184.29291076751667
29,18317,164.97255454260775
30,18318,177.39029342263774
31,18319,205.7258862404035
32,18320,236.9061940851499
33,18321,306.1345654157595
34,18322,434.52324803050846
35,18323,481.72599492427696
36,18324,486.82974835503614
37,18325,430.5629584831436
38,18326,460.3766875404192
39,18327,454.56175535291504
40,18328,442.9597803409165
41,18329,453.2788446544727
42,18330,464.4345898583174
43,18331,492.81201672059785
44,18332,473.57532858471734
45,18333,442.0324590208462
46,18334,443.63609739389904
47,18335,433.1496969022853
48,18336,377.92085661999596
49,18337,301.60061538759567
50,18338,255.24701586401002
51,18339,210.90149026936558
52,18340,177.51642170492858
53,18341,158.90647903905534
54,18342,170.86761505057487
55,18343,198.1613021650129
56,18344,228.195103537003
57,18345,294.8779331037493
58,18346,418.5457368747294
59,18347,464.0128288444014
60,18348,468.9289161888328
61,18349,414.73106800637294
62,18350,443.4485399801275
63,18351,437.84742407130824
64,18352,426.6720561189399
65,18353,436.6116862688828
66,18354,447.3572323769292
67,18355,474.6912152892726
68,18356,456.1618642192093
69,18357,425.77883259870794
70,18358,427.3235048517397
71,18359,417.2226915101764
72,18360,262.6269226460044
73,18361,209.59002420718596
74,18362,177.37771577488
75,18363,146.56086955950528
76,18364,123.36072681580882
77,18365,110.42819904618833
78,18366,118.74030007747463
79,18367,137.70738519322236
80,18368,158.57864617688983
81,18369,204.9182593939815
82,18370,290.85819672699824
83,18371,322.45444826085975
84,18372,325.87076378859786
85,18373,288.2072852246004
86,18374,308.16379505603214
87,18375,304.2714355613142
88,18376,296.50538496274027
89,18377,303.4126895816641
90,18378,310.88004592644666
91,18379,329.87513362848745
92,18380,316.9986110314526
93,18381,295.8846609665799
94,18382,296.95809344114235
95,18383,289.938778477047
96,18384,261.67467733580673
97,18385,208.83008263072952
98,18386,176.73457113350645
99,18387,146.0294621192839
100,18388,122.91343956745892
101,18389,110.0278031781796
102,18390,118.30976579431339
103,18391,137.20807914185235
104,18392,158.00366410499095
105,18393,204.17525692677134
106,18394,289.8035891072792
107,18395,321.2852774347497
108,18396,324.6892059215604
109,18397,287.1622894071311
110,18398,307.04643996669745
111,18399,303.1681935759869
112,18400,295.4303014966796
113,18401,302.3125612787557
114,18402,309.75284212424344
115,18403,328.6790565249532
116,18404,315.8492222420147
117,18405,294.811828151398
118,18406,295.8813685229369
119,18407,288.8875045281787
120,18408,410.143360032081
121,18409,327.31585890532943
122,18410,277.0100323674168
123,18411,228.88349330195206
124,18412,192.6519279991465
125,18413,172.45525379796464
126,18414,185.43622700341584
127,18415,215.05704402023363
128,18416,247.65160447771646
129,18417,320.0199834540908
130,18418,454.2320219746823
131,18419,503.57575504649776
132,18420,508.91100063121996
133,18421,450.09210463571765
134,18422,481.2581020677833
135,18423,475.1794206228949
136,18424,463.0512120805758
137,18425,473.8383206398498
138,18426,485.50005962284894
139,18427,515.1646081608533
140,18428,495.0553970020434
141,18429,462.08183002761336
142,18430,463.75820500641953
143,18431,452.7961703624008
144,18432,400.4958115806628
145,18433,319.61661050725775
146,18434,270.49409679653604
147,18435,223.4996085276436
148,18436,188.1202959144883
149,18437,168.39869558235108
150,18438,181.0743253880302
151,18439,209.99839025623828
152,18440,241.82624903838095
153,18441,312.49235141939465
154,18442,443.5474032115171
155,18443,491.7304541853779
156,18444,496.9402020897896
157,18445,439.5048665862361
158,18446,469.9377655469791
159,18447,464.0020691640839
160,18448,452.15914496607746
161,18449,462.692515046035
162,18450,474.0799421595027
163,18451,503.0467098793865
164,18452,483.41051525059993
165,18453,451.2125650872699
166,18454,452.8495077348309
167,18455,442.1453262481716
168,18456,415.4311276941829
169,18457,331.53577414149794
170,18458,280.5813804226813
171,18459,231.8343706102579
172,18460,195.13569034711136
173,18461,174.67863079990155
174,18462,187.82696102493983
175,18463,217.82966402019773
176,18464,250.84444940277507
177,18465,324.14583671574684
178,18466,460.08820210813866
179,18467,510.06809858399924
180,18468,515.4721287494839
181,18469,455.89491094147866
182,18470,487.4627155693636
183,18471,481.3056648070493
184,18472,469.02109350190426
185,18473,479.94727471080716
186,18474,491.7593625042157
187,18475,521.8063608286991
188,18476,501.4378919399394
189,18477,468.0392137040766
190,18478,469.7372013243791
191,18479,458.6338387985755
192,18480,396.0611601185982
193,18481,316.0775266314688
194,18482,267.49894177330555
195,18483,221.02481893667093
196,18484,186.03725803694192
197,18485,166.53403308157075
198,18486,179.06930686198086
199,18487,207.6730983519221
200,18488,239.14853032609005
201,18489,309.03215377678606
202,18490,438.63604563106276
203,18491,486.2855703325646
204,18492,491.43763120132394
205,18493,434.6382716236104
206,18494,464.73419003182653
207,18495,458.86421904201075
208,18496,447.15243040046
209,18497,457.56916549030063
210,18498,468.83050072256094
211,18499,497.47652221962346
212,18500,478.0577572784938
213,18501,446.21633190927776
214,18502,447.8351488489152
215,18503,437.2494937305909
216,18504,381.63445791937164
217,18505,304.5642635101498
218,18506,257.75517500148646
219,18507,212.97389255832445
220,18508,179.26076897435382
221,18509,160.4679575780184
222,18510,172.546628489918
223,18511,200.10851427653157
224,18512,230.43743977794324
225,18513,297.77552146477586
226,18514,422.6585344752838
227,18515,468.57240425268907
228,18516,473.53679903512057
229,18517,418.8063811468397
230,18518,447.80604247153497
231,18519,442.14988776040406
232,18520,430.8647061784835
233,18521,440.9020071047107
234,18522,451.7531432411728
235,18523,479.3557207882983
